epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.169,0.84985,1.60847,1.09108,0.99195,0.77778,0.88417,0.73464,0.65567,0.95732,0.99774,0.000472523,0.000472523,0.000472523
2,787.436,0.88643,0.84755,1.10943,0.93714,0.82858,0.86225,0.73404,0.73907,0.98339,0.99467,0.000945725,0.000945725,0.000945725
3,1165.06,0.90745,0.85009,1.12451,0.87855,0.88889,0.89085,0.64715,0.86014,1.38861,0.96963,0.00141578,0.00141578,0.00141578
4,1541.88,0.89239,0.79298,1.12959,0.8515,0.88889,0.87367,0.73877,0.71988,0.97188,0.92848,0.00141485,0.00141485,0.00141485
5,1919.05,0.87626,0.68197,1.11374,0.97743,0.88889,0.91417,0.80859,0.62922,0.70868,0.88369,0.00141014,0.00141014,0.00141014
6,2296.34,0.83393,0.64451,1.07671,1,0.8716,0.88687,0.77782,0.64929,0.70319,0.90419,0.00140542,0.00140542,0.00140542
7,2673.75,0.77712,0.61988,1.05507,0.93394,0.88889,0.88658,0.71353,0.68088,0.7084,0.8791,0.00140071,0.00140071,0.00140071
8,3050.23,0.8151,0.62017,1.0708,0.94116,0.88857,0.88308,0.73776,0.65585,0.62445,0.89821,0.00139599,0.00139599,0.00139599
9,3427.16,0.75354,0.58222,1.05944,0.93707,0.88889,0.89108,0.78008,0.55725,0.55348,0.84928,0.00139127,0.00139127,0.00139127
10,3804.15,0.80926,0.61659,1.08292,1,0.88121,0.88822,0.76906,0.63485,0.63767,0.90311,0.00138656,0.00138656,0.00138656
11,4181.11,0.74593,0.61555,1.04382,0.98778,0.88889,0.89445,0.78012,0.60714,0.59194,0.91233,0.00138184,0.00138184,0.00138184
12,4557.96,0.73427,0.57678,1.02848,0.99557,0.88889,0.88852,0.7912,0.53153,0.48943,0.81528,0.00137713,0.00137713,0.00137713
13,4935.09,0.70757,0.52537,1.005,0.99199,0.88889,0.89147,0.79806,0.63031,0.50596,0.87938,0.00137241,0.00137241,0.00137241
14,5312.51,0.70663,0.53447,1.01247,0.93848,0.84819,0.88513,0.78054,0.53723,0.59241,0.83628,0.0013677,0.0013677,0.0013677
15,5690.13,0.65214,0.50927,0.9978,0.99543,0.88889,0.89014,0.78918,0.48596,0.44614,0.80366,0.00136298,0.00136298,0.00136298
16,6067.82,0.69174,0.50914,1.0076,0.99267,0.88889,0.92212,0.81995,0.52541,0.42744,0.82788,0.00135826,0.00135826,0.00135826
17,6445.37,0.65715,0.49938,1.00652,0.99367,0.88889,0.89835,0.80018,0.52098,0.42907,0.81442,0.00135355,0.00135355,0.00135355
18,6822.74,0.66614,0.49048,0.99127,0.99501,0.88889,0.94285,0.81516,0.52874,0.38683,0.82815,0.00134883,0.00134883,0.00134883
19,7200.14,0.65068,0.47518,0.99409,0.99653,0.88889,0.93865,0.84064,0.51879,0.40863,0.831,0.00134412,0.00134412,0.00134412
20,7577.82,0.65584,0.47795,0.9862,0.99627,0.88889,0.92806,0.83046,0.50789,0.38544,0.82235,0.0013394,0.0013394,0.0013394
21,7955.43,0.66293,0.46516,0.98923,0.99645,0.88889,0.94707,0.83648,0.50775,0.40399,0.82221,0.00133469,0.00133469,0.00133469
22,8332.88,0.65513,0.49,0.98228,0.99546,0.88889,0.92015,0.83756,0.4879,0.40906,0.8052,0.00132997,0.00132997,0.00132997
23,8710.68,0.6067,0.45487,0.97057,0.99625,0.88889,0.89292,0.83137,0.52055,0.44167,0.82396,0.00132525,0.00132525,0.00132525
24,9087.56,0.60885,0.44023,0.96987,0.99638,0.88889,0.9363,0.84288,0.4656,0.39501,0.79756,0.00132054,0.00132054,0.00132054
25,9465.09,0.60646,0.44642,0.96879,0.98989,0.88889,0.91976,0.82883,0.49648,0.43626,0.80839,0.00131582,0.00131582,0.00131582
26,9841.96,0.60886,0.43665,0.97494,0.99558,0.88889,0.8909,0.80133,0.56007,0.49205,0.85245,0.00131111,0.00131111,0.00131111
27,10218.9,0.57967,0.4113,0.95539,0.99438,0.88889,0.91195,0.83512,0.50343,0.40836,0.82361,0.00130639,0.00130639,0.00130639
28,10595.8,0.59086,0.43346,0.9509,0.99342,0.88889,0.94396,0.8467,0.46902,0.38759,0.82352,0.00130168,0.00130168,0.00130168
29,10973.1,0.59037,0.43559,0.95402,0.99618,0.88889,0.89556,0.8255,0.50091,0.4313,0.828,0.00129696,0.00129696,0.00129696
30,11350,0.56691,0.41787,0.95198,0.99652,0.88889,0.9144,0.85311,0.47294,0.39454,0.81357,0.00129224,0.00129224,0.00129224
31,11727.1,0.59484,0.44784,0.97089,0.93932,0.88889,0.94142,0.8216,0.51779,0.38669,0.88268,0.00128753,0.00128753,0.00128753
32,12104.3,0.56701,0.41592,0.94869,1,0.94116,0.94833,0.82626,0.51924,0.34167,0.8173,0.00128281,0.00128281,0.00128281
33,12482.1,0.59068,0.41498,0.96676,0.99607,0.88889,0.90731,0.8059,0.52668,0.34577,0.83195,0.0012781,0.0012781,0.0012781
34,12860,0.56543,0.39953,0.94596,0.99661,0.88889,0.93628,0.88289,0.41087,0.33584,0.78835,0.00127338,0.00127338,0.00127338
35,13237.9,0.55705,0.40086,0.94323,0.9966,0.88889,0.93343,0.85824,0.40539,0.32952,0.78105,0.00126867,0.00126867,0.00126867
36,13616.7,0.54308,0.38991,0.93924,1,0.94101,0.94914,0.85746,0.4605,0.35648,0.80286,0.00126395,0.00126395,0.00126395
37,13994.1,0.57332,0.42035,0.96469,0.99331,0.88889,0.90638,0.81906,0.54166,0.48352,0.83041,0.00125923,0.00125923,0.00125923
38,14371.2,0.5642,0.41708,0.94387,1,0.94086,0.95366,0.85238,0.46504,0.3454,0.79899,0.00125452,0.00125452,0.00125452
39,14748.1,0.55483,0.40193,0.94471,0.99384,0.88889,0.90903,0.85006,0.4393,0.36118,0.77872,0.0012498,0.0012498,0.0012498
40,15124.5,0.539,0.38739,0.92386,0.99378,0.88889,0.92012,0.82177,0.50479,0.38544,0.79864,0.00124509,0.00124509,0.00124509
41,15500.6,0.56351,0.41246,0.94547,0.99657,0.88889,0.90139,0.83331,0.44489,0.40391,0.7937,0.00124037,0.00124037,0.00124037
42,15876.7,0.5381,0.39605,0.94427,0.99644,0.88889,0.91483,0.82859,0.49359,0.35242,0.80495,0.00123566,0.00123566,0.00123566
43,16252.8,0.56137,0.40572,0.94921,0.99328,0.88889,0.89605,0.84555,0.42751,0.3599,0.79423,0.00123094,0.00123094,0.00123094
44,16627.9,0.55231,0.40637,0.93721,0.99607,0.88889,0.90364,0.86329,0.41515,0.35466,0.78611,0.00122622,0.00122622,0.00122622
45,17002.4,0.53301,0.38919,0.9563,0.99575,0.88889,0.93258,0.8452,0.50969,0.40972,0.81787,0.00122151,0.00122151,0.00122151
46,17376.5,0.519,0.38948,0.927,0.99432,0.88889,0.93296,0.84859,0.42263,0.33431,0.79701,0.00121679,0.00121679,0.00121679
47,17750.8,0.52335,0.3803,0.92506,0.9966,0.88889,0.92356,0.84602,0.45018,0.35294,0.78646,0.00121208,0.00121208,0.00121208
48,18125.2,0.50702,0.37579,0.93707,1,0.9424,0.95383,0.88673,0.43302,0.32374,0.77266,0.00120736,0.00120736,0.00120736
49,18500,0.50287,0.35861,0.92755,1,0.94327,0.95437,0.8628,0.46429,0.3226,0.81049,0.00120265,0.00120265,0.00120265
50,18874.8,0.49748,0.3675,0.9284,0.99553,0.88889,0.94666,0.87061,0.41807,0.30759,0.79349,0.00119793,0.00119793,0.00119793
51,19249.5,0.50629,0.34931,0.92138,0.99645,0.88889,0.90364,0.86597,0.36734,0.32624,0.76905,0.00119322,0.00119322,0.00119322
52,19625.1,0.50888,0.36761,0.93058,0.99337,0.88889,0.94329,0.87676,0.39771,0.31276,0.78346,0.0011885,0.0011885,0.0011885
53,20000.8,0.49582,0.3664,0.92037,0.99652,0.88889,0.90009,0.87448,0.38168,0.37063,0.77273,0.00118378,0.00118378,0.00118378
54,20375.6,0.51051,0.37371,0.93191,1,0.941,0.95383,0.88481,0.42251,0.31402,0.7692,0.00117907,0.00117907,0.00117907
55,20749.8,0.50232,0.36126,0.92045,1,0.94235,0.95146,0.89397,0.37449,0.29564,0.76959,0.00117435,0.00117435,0.00117435
56,21123.9,0.51486,0.37205,0.93027,1,0.941,0.95437,0.86422,0.42924,0.32464,0.78965,0.00116964,0.00116964,0.00116964
57,21498.5,0.50241,0.3615,0.918,0.99895,0.94444,0.95156,0.86556,0.41132,0.31864,0.77109,0.00116492,0.00116492,0.00116492
58,21872.8,0.47673,0.3465,0.89136,0.99656,0.88889,0.93673,0.88051,0.43464,0.33438,0.76977,0.00116021,0.00116021,0.00116021
59,22247.4,0.49936,0.37073,0.92614,1,0.94105,0.95335,0.87179,0.42544,0.33567,0.80597,0.00115549,0.00115549,0.00115549
60,22622.2,0.46859,0.35183,0.9127,0.99093,0.88889,0.93495,0.8549,0.40181,0.33471,0.77386,0.00115077,0.00115077,0.00115077
61,22997,0.4872,0.35135,0.92999,1,0.94118,0.94988,0.87608,0.38111,0.27491,0.76558,0.00114606,0.00114606,0.00114606
62,23371.6,0.46482,0.3356,0.91977,1,0.94052,0.95811,0.88601,0.39846,0.31128,0.76484,0.00114134,0.00114134,0.00114134
63,23746.5,0.49061,0.34883,0.92164,0.99657,0.88889,0.9466,0.88105,0.39545,0.32357,0.76935,0.00113663,0.00113663,0.00113663
64,24121.5,0.4955,0.36088,0.92381,0.99645,0.88889,0.89784,0.84456,0.41001,0.35164,0.76989,0.00113191,0.00113191,0.00113191
65,24496.6,0.46722,0.33942,0.91919,0.99432,0.88889,0.94621,0.86905,0.40947,0.33693,0.77775,0.0011272,0.0011272,0.0011272
